2020-11-03 23:31:26 status unpacked libapparmor1:armhf 2.13.2-10
2020-11-03 23:31:26 status half-configured libapparmor1:armhf 2.13.2-10
2020-11-03 23:31:27 status installed libapparmor1:armhf 2.13.2-10
2020-11-03 23:31:27 configure libip4tc0:armhf 1.8.2-4 <none>
2020-11-03 23:31:27 status unpacked libip4tc0:armhf 1.8.2-4
2020-11-03 23:31:27 status half-configured libip4tc0:armhf 1.8.2-4
2020-11-03 23:31:27 status installed libip4tc0:armhf 1.8.2-4
2020-11-03 23:31:27 configure liblzma5:armhf 5.2.4-1 <none>
2020-11-03 23:31:27 status unpacked liblzma5:armhf 5.2.4-1
2020-11-03 23:31:27 status half-configured liblzma5:armhf 5.2.4-1
2020-11-03 23:31:27 status installed liblzma5:armhf 5.2.4-1
2020-11-03 23:31:27 configure libgpg-error0:armhf 1.35-1 <none>
2020-11-03 23:31:27 status unpacked libgpg-error0:armhf 1.35-1
2020-11-03 23:31:27 status half-configured libgpg-error0:armhf 1.35-1
2020-11-03 23:31:27 status installed libgpg-error0:armhf 1.35-1
2020-11-03 23:31:27 configure libgcc1:armhf 1:8.3.0-6+rpi1 <none>
2020-11-03 23:31:27 status unpacked libgcc1:armhf 1:8.3.0-6+rpi1
2020-11-03 23:31:27 status half-configured libgcc1:armhf 1:8.3.0-6+rpi1
2020-11-03 23:31:27 status installed libgcc1:armhf 1:8.3.0-6+rpi1
2020-11-03 23:31:27 configure liblz4-1:armhf 1.8.3-1 <none>
2020-11-03 23:31:27 status unpacked liblz4-1:armhf 1.8.3-1
2020-11-03 23:31:27 status half-configured liblz4-1:armhf 1.8.3-1
2020-11-03 23:31:27 status installed liblz4-1:armhf 1.8.3-1
2020-11-03 23:31:27 configure libargon2-1:armhf 0~20171227-0.2 <none>
2020-11-03 23:31:27 status unpacked libargon2-1:armhf 0~20171227-0.2
2020-11-03 23:31:27 status half-configured libargon2-1:armhf 0~20171227-0.2
2020-11-03 23:31:27 status installed libargon2-1:armhf 0~20171227-0.2
2020-11-03 23:31:27 configure libedit2:armhf 3.1-20181209-1 <none>
2020-11-03 23:31:27 status unpacked libedit2:armhf 3.1-20181209-1
2020-11-03 23:31:27 status half-configured libedit2:armhf 3.1-20181209-1
2020-11-03 23:31:27 status installed libedit2:armhf 3.1-20181209-1
2020-11-03 23:31:27 configure libc-bin:armhf 2.28-10+rpi1 <none>
2020-11-03 23:31:27 status unpacked libc-bin:armhf 2.28-10+rpi1
2020-11-03 23:31:27 status half-configured libc-bin:armhf 2.28-10+rpi1
2020-11-03 23:31:27 status installed libc-bin:armhf 2.28-10+rpi1
2020-11-03 23:31:27 configure libsqlite3-0:armhf 3.27.2-3 <none>
2020-11-03 23:31:27 status triggers-pending libc-bin:armhf 2.28-10+rpi1
2020-11-03 23:31:27 status unpacked libsqlite3-0:armhf 3.27.2-3
2020-11-03 23:31:27 status half-configured libsqlite3-0:armhf 3.27.2-3
2020-11-03 23:31:27 status installed libsqlite3-0:armhf 3.27.2-3
2020-11-03 23:31:27 configure libacl1:armhf 2.2.53-4 <none>
2020-11-03 23:31:27 status unpacked libacl1:armhf 2.2.53-4
2020-11-03 23:31:27 status half-configured libacl1:armhf 2.2.53-4
2020-11-03 23:31:27 status installed libacl1:armhf 2.2.53-4
2020-11-03 23:31:27 configure libunistring2:armhf 0.9.10-1 <none>
2020-11-03 23:31:27 status unpacked libunistring2:armhf 0.9.10-1
2020-11-03 23:31:27 status half-configured libunistring2:armhf 0.9.10-1
2020-11-03 23:31:27 status installed libunistring2:armhf 0.9.10-1
2020-11-03 23:31:27 configure libsmartcols1:armhf 2.33.1-0.1 <none>
2020-11-03 23:31:27 status unpacked libsmartcols1:armhf 2.33.1-0.1
2020-11-03 23:31:27 status half-configured libsmartcols1:armhf 2.33.1-0.1
2020-11-03 23:31:27 status installed libsmartcols1:armhf 2.33.1-0.1
2020-11-03 23:31:27 configure libgcrypt20:armhf 1.8.4-5 <none>
2020-11-03 23:31:27 status unpacked libgcrypt20:armhf 1.8.4-5
2020-11-03 23:31:27 status half-configured libgcrypt20:armhf 1.8.4-5
2020-11-03 23:31:27 status installed libgcrypt20:armhf 1.8.4-5
2020-11-03 23:31:27 configure zlib1g:armhf 1:1.2.11.dfsg-1 <none>
2020-11-03 23:31:27 status unpacked zlib1g:armhf 1:1.2.11.dfsg-1
2020-11-03 23:31:27 status half-configured zlib1g:armhf 1:1.2.11.dfsg-1
2020-11-03 23:31:27 status installed zlib1g:armhf 1:1.2.11.dfsg-1
2020-11-03 23:31:27 configure libnpth0:armhf 1.6-1 <none>
